,id,title,release_date,popularity,vote_average,vote_count
269,673,Harry Potter and the Prisoner of Azkaban,2004-05-31,122.217,8.0,21873
270,641,Requiem for a Dream,2000-10-06,20.736,8.015,10104
271,962232,Beyond the Universe,2022-10-27,14.601,8.0,324
272,55960,"Toto, Peppino, and the Hussy",1956-08-23,4.561,8.014,352
273,264644,Room,2015-10-16,19.492,8.013,9243
274,678580,El mesero,2021-07-15,8.221,8.0,350
275,11658,Tae Guk Gi: The Brotherhood of War,2004-02-05,9.871,8.007,691
276,14,American Beauty,1999-09-15,37.716,8.009,12173
277,28178,Hachi: A Dog's Tale,2009-06-08,37.381,8.0,6761
278,110416,Song of the Sea,2014-06-23,18.166,8.0,1437
279,906126,Society of the Snow,2023-12-15,46.029,8.004,3061
280,359724,Ford v Ferrari,2019-11-13,38.436,8.0,8142
281,568160,Weathering with You,2019-06-19,30.372,8.003,2341
282,20453,3 Idiots,2009-12-23,42.205,8.002,2427
283,3175,Barry Lyndon,1975-12-18,20.089,8.002,2865
284,524,Casino,1995-11-22,26.543,8.001,5935
285,526702,Black Beauty,2020-11-27,13.349,8.0,339
286,449176,"Love, Simon",2018-02-16,17.244,7.999,6059
287,347688,Scooby-Doo! and Kiss: Rock and Roll Mystery,2015-07-09,13.573,8.0,322
288,337404,Cruella,2021-05-26,58.015,8.0,9456
289,15,Citizen Kane,1941-04-17,22.038,7.998,5593
290,678512,Sound of Freedom,2023-07-03,35.147,7.996,2483
291,414419,Kill Bill: The Whole Bloody Affair,2011-03-27,17.675,8.0,1032
292,205596,The Imitation Game,2014-11-14,78.796,7.996,17158
293,140420,Paperman,2012-11-02,9.522,8.0,1725
294,339877,Loving Vincent,2017-06-22,15.887,8.0,2471
295,20530,Late Spring,1949-09-13,10.846,8.0,426
296,947,Lawrence of Arabia,1962-12-11,30.777,8.0,3072
297,1000492,All Your Faces,2023-03-29,9.245,7.994,587
298,11778,The Deer Hunter,1978-12-08,30.242,8.0,3861
299,930094,"Red, White & Royal Blue",2023-07-27,44.629,7.993,1322
300,13223,Gran Torino,2008-12-12,23.434,7.99,10802
301,595,To Kill a Mockingbird,1962-12-20,21.82,7.99,2638
302,25376,The Secret in Their Eyes,2009-08-13,29.081,8.0,2572
303,530915,1917,2019-12-25,42.829,8.0,12587
304,455661,In a Heartbeat,2017-06-01,5.469,8.0,995
305,429210,Bingo: The King of the Mornings,2017-08-24,6.354,7.987,393
306,28422,Love Exposure,2009-01-31,15.849,8.0,450
307,7508,Like Stars on Earth,2007-12-21,24.196,7.988,1182
308,19426,Nights of Cabiria,1957-10-03,11.738,7.984,774
309,12761,Autumn Sonata,1978-10-08,9.965,8.0,621
310,780,The Passion of Joan of Arc,1928-04-21,10.357,8.0,960
311,213,North by Northwest,1959-07-08,20.915,7.982,4150
312,424694,Bohemian Rhapsody,2018-10-24,40.86,8.0,16984
313,962,The Gold Rush,1925-07-13,18.927,8.0,1633
314,640,Catch Me If You Can,2002-12-16,77.458,7.979,15858
315,14696,Ugetsu,1953-03-26,11.289,8.0,582
316,895,Andrei Rublev,1966-12-16,16.273,8.0,840
317,1396,Mirror,1975-03-07,19.045,8.0,963
318,10515,Castle in the Sky,1986-08-02,39.677,8.0,4264
319,2517,Nobody Knows,2004-08-07,14.949,8.0,539
320,862,Toy Story,1995-11-22,112.088,7.97,18625
321,24,Kill Bill: Vol. 1,2003-10-10,58.644,7.969,17622
322,1050035,Monster,2023-06-02,43.827,8.0,628
323,76,Before Sunrise,1995-01-27,38.608,7.968,4214
324,574074,Kitbull,2019-01-18,13.13,8.0,369
325,41050,La Notte,1961-01-24,10.298,8.0,680
